type;year;fishing_stock_t;quota_t;cath_t
ленки;1996;;;4.8
ленки;1997;;;2.3
ленки;1998;;;3.89
ленки;1999;;;2.206
ленки;2000;80;20.2;5.382
ленки;2001;20;6;7.711
ленки;2002;;;6.821
ленки;2003;;10;9.37
ленки;2004;325;65;5.87
ленки;2005;300;66;
ленки;2006;250;55;13.76
ленки;2007;250;55;21.932
ленки;2008;250;55;29.74
ленки;2009;250;55;19.454
ленки;2010;250;55;27.064
ленки;2011;290;64;41.122
ленки;2012;290;64;37.427
ленки;2013;290;64;32.070
ленки;2014;290;64;39.022
ленки;2015;280;62;43.286
ленки;2016;280;62;41.242
ленки;2017;280;62;49.428
ленки;2018;280;62;41.768
ленки;2019;280;65.5;36.289
ленки;2020;280;65.5;25.9
ленки;2021;280;65.5;28.7
ленки;2022;280;65.5;
хариусы;1996;;;
хариусы;1997;;;
хариусы;1998;;;
хариусы;1999;;;2.089
хариусы;2000;40;10;2.992
хариусы;2001;100;30;3.73
хариусы;2002;;;0.672
хариусы;2003;;5;5
хариусы;2004;150;30;3.19
хариусы;2005;100;31.1;
хариусы;2006;80;25;1.246
хариусы;2007;65;20;1.938
хариусы;2008;70;20;11.100
хариусы;2009;70;20;2.145
хариусы;2010;70;20;13.057
хариусы;2011;90;25;16.981
хариусы;2012;90;25;17.972
хариусы;2013;90;25;12.997
хариусы;2014;90;25;15.251
хариусы;2015;90;25;12.236
хариусы;2016;90;25;13.575
хариусы;2017;90;25;21.705
хариусы;2018;90;25;20.885
хариусы;2019;90;28;22.049
хариусы;2020;90;28;11.200
хариусы;2021;90;28;12.100
хариусы;2022;90;28;
таймень;1996;;;0.2
таймень;1997;;;
таймень;1998;;;0.86
таймень;1999;;;0.997
таймень;2000;40;10;0.243
таймень;2001;14;2;0.984
таймень;2002;;;0.114
таймень;2003;;5;4.41
таймень;2004;50;10;0.56
таймень;2005;50;9;
таймень;2006;50;9;1.04
таймень;2007;50;9;1.3017
таймень;2008;50;9;5.525
таймень;2009;50;9;2.145
таймень;2010;50;9;3.242
таймень;2011;55;10;3.056
таймень;2012;55;10;1.721
таймень;2013;55;10;1.685
таймень;2014;55;10;2.428
таймень;2015;53;9.8;2.587
таймень;2016;53;9.8;1.243
таймень;2017;53;9.8;1.311
таймень;2018;53;9.8;2.242
таймень;2019;53;9.4;2.368
таймень;2020;53;9.4;0.171
таймень;2021;53;9.4;2.440
таймень;2022;53;9.4;
